[CATEGORIAS]
Categoria|Subcategoria|Fuente(s)|Repetida
Cintas Industriales||Exworks|
Delantales||Distribuciones|
Delantales|Guantes De Proteccion|Distribuciones|
Escaleras||Exworks|
Incendio||Distribuciones|
Incendio|Detector De Humo Importado|Distribuciones|
Incendio|Mantas De Borosilicato|Distribuciones|
Incendio|Sica|Distribuciones|
Indumentaria De Lluvia||Exworks|
Kits Vehiculares||Distribuciones|
Kraftex||Distribuciones|
Kraftex|Botas L39|Distribuciones|
Kraftex|Cascos Saylens|Distribuciones|
Kraftex|Guantes Dielectricos|Distribuciones|
Kraftex|Libus|Distribuciones|
Primeros Auxilios||Exworks|
Primeros Auxilios|Delantales De Pvc|Exworks|
Proteccion Auditiva||Distribuciones|
Proteccion En Altura||Exworks|
Proteccion Facial||Distribuciones; Exworks|[REPETIDA]
Proteccion Facial|Carpa Piso Pvc|Exworks|
Proteccion Facial|Espejos Parabolicos|Exworks|
Proteccion Facial|Espejos Plasticos Viales Cartel Corrugado|Exworks|
Proteccion Ocular||Distribuciones|
Proteccion Respiratoria||Distribuciones|
Proteccion Respiratoria|Cartel Corrugado Vial|Distribuciones|
Proteccion Respiratoria|Carteleria Alto Impacto 0.8 Mm - Según Catalogo  -|Distribuciones|
Señalizacion Industrial||Distribuciones|
Señalizacion Industrial|Carteles Adhesivos|Distribuciones|
Señalizacion Industrial|Carteles Adhesivos Fotoluminicentes|Distribuciones|
Señalizacion Industrial|Carteles Doble Faz|Distribuciones|
Señalizacion Industrial|Carteles Doble Faz Fotoluminicentes|Distribuciones|
Señalizacion Industrial|Carteles Fotoluminicentes|Distribuciones|
Señalizacion Industrial|Carteles Linea Dorada|Distribuciones|
Señalizacion Industrial|Chapas Baliza De 0.5 Mm|Distribuciones|
Señalizacion Industrial|Chapas Baliza De 0.7 Mm|Distribuciones|
Señalizacion Industrial|Cinta De Doble Contacto|Distribuciones|
Señalizacion Industrial|Tarjetas De Seguridad Y Linea Chapa|Distribuciones|
Señalizacion Personal||Exworks|
Señalización Vial||Exworks|
Señalización Vial|Baston Led|Exworks|
Señalización Vial|Cintas De Peligro|Exworks|
Señalización Vial|Conos Varios|Exworks|
Señalización Vial|Linea Conos Rojos|Exworks|
Señalización Vial|Linea Conos Viales Naranjas|Exworks|
Señalización Vial|Mallas De Advertencia Subterranea|Exworks|
Señalización Vial|Mallas Reticuladas De Proteccion|Exworks|
Señalización Vial|Postes / Delineador Vial|Exworks|
Señalización Vial|Tachas Viales|Exworks|
Sujecion De Carga||Exworks|
Sujecion De Carga|Duchas - Lavaojos De Emergencia|Exworks|

[PRODUCTOS]
Categoria|Subcategoria|Codigo|Descripcion|Medidas|Presentacion|Moneda|Precio_unitario|Precios_por_bulto|Notas
Kraftex|Guantes Dielectricos|02787|Guante dieléctrico probado a 2.500 volts Kraftex ( Clase 00, Cat A ) -CERTIFICADO Normas IEC 903 /||||||Certificaciones en descripción; Bultos: UNITARIO X 5 UNIDADES
Kraftex|Guantes Dielectricos|02788|Guante dieléctrico probado a 5.000 volts Kraftex ( Clase 0, Cat A ) - CERTIFICADO Normas IEC 903 /||||||Certificaciones en descripción; Bultos: UNITARIO X 5 UNIDADES
Kraftex|Guantes Dielectricos|02789|Guante dieléctrico probado a 10.000 volts Kraftex ( Clase 1, Cat A ) - CERTIFICADO Normas IEC 903||||||Certificaciones en descripción; Bultos: UNITARIO X 5 UNIDADES
Kraftex|Guantes Dielectricos|02790|Guante dieléctrico probado a 20.000 volts Kraftex ( Clase 2, Cat A ) -CERTIFICADO Normas IEC 903 /||||||Certificaciones en descripción; Bultos: UNITARIO X 5 UNIDADES
Kraftex|Botas L39|01085|Bota 1/2 caña NEGRA, CON puntera , suela y caña en PVC , L 39, industrial NEGRA Modelo||||||Bultos: UNITARIO X 20 UNIDADES
Kraftex|Botas L39|01083|Bota 1/2 caña NEGRA, SIN puntera , suela y caña en PVC , L 39, industrial NEGRA Modelo Tracktor||||||Bultos: UNITARIO X 20 UNIDADES
Proteccion Ocular||900499|Anteojo ARGON Transparente HC , con tratamiento antiraya, marco negro, patillas||||||Bultos: UNITARIO X 240 UNIDADES
Proteccion Ocular||900494|Anteojo ARGON Gris HC , con tratamiento antiraya, marco negro, patillas||||||Bultos: UNITARIO X 240 UNIDADES
Proteccion Ocular||900558|Anteojo ECO LINE Transparente HC con tratamiento antiraya US$ 0,79 US$ 0,76|||USD|US$                0,79|US$                  0,76|Bultos: UNITARIO X 240 UNIDADES
Proteccion Ocular||900555|Anteojo ECO LINE Gris HC con tratamiento antiraya US$ 0,79 US$ 0,76|||USD|US$                0,79|US$                  0,76|Bultos: UNITARIO X 240 UNIDADES
Proteccion Ocular||903121|Antiparra AVIATOR Transparente AF ANTIEMPAÑANTE - Marco gris US$ 7,49 US$ 7,14|||USD|US$                7,49|US$                  7,14|Bultos: UNITARIO X 50 UNIDADES
Proteccion Ocular||901852|Antiparra Soldador Rectangular Flip-Up US$ 9,77|||USD|US$                9,77||Bultos: UNITARIO
Proteccion Auditiva||901374|Protector auditivo tipo copa ALTERNATIVE Negro US$ 8,17 US$ 7,78|||USD|US$                8,17|US$                  7,78|Bultos: UNITARIO X 25 UNIDADES
Proteccion Auditiva||900473|Protector Auditivo QUANTUM endoaural, con cordon textil de poliester, diseño de tres aletas US$ 0,40 US$ 0,38|||USD|US$                0,40|US$                  0,38|Bultos: UNITARIO X 25 UNIDADES
